name,special,level,race,rank,description,form_id
Makeshift Warrior,I,9,"Human, Ghoul",2,Melee weapons break 60% slower.,
Makeshift Warrior,I,9,"Human, Ghoul",3,Melee weapons break 80% slower.,
Nerd Rage!,I,46,"Human, Ghoul",2,"While your Health is low, gain increased damage and AP regen.",0025A22F
Pharmacist,I,6,Human,1,RadAway removes more radiation based on your INT.,000907E9
Power Patcher,I,44,"Human, Ghoul",1,Your Power Armor breaks 20% slower and is cheaper to repair.,00391F25
Power Patcher,I,44,"Human, Ghoul",2,Your Power Armor breaks 40% slower and is cheaper to repair.,
Power Patcher,I,44,"Human, Ghoul",3,Your Power Armor breaks 60% slower and is cheaper to repair.,
Power Smith,I,41,"Human, Ghoul",1,Your crafted Power Armor now has improved durability and costs fewer materials.,003440DB
Power User,I,50,"Human, Ghoul",1,Fusion Cores now last 30% longer.,0027A876
Power User,I,50,"Human, Ghoul",2,Fusion Cores now last 60% longer.,
Power User,I,50,"Human, Ghoul",3,Fusion Core duration is now doubled.,
Pyro-Technician,I,30,"Human, Ghoul",2,Increase fire damage based on your INT.,003440C5
Rad Specialist,I,70,Ghoul,1,"Increase Environment Glow intake by 5% on Armors, Double if wearing a matching set.",00797E00
Rad Specialist,I,70,Ghoul,2,"Increase Environment Glow intake by 10% on Armors, Double if wearing a matching set.",
Rad Specialist,I,70,Ghoul,3,"Increase Environment Glow intake by 15% on Armors, Double if wearing a matching set.",
Robotics Expert,I,48,"Human, Ghoul",1,Hack an enemy robot for a 25% chance to pacify it.,004E84E8
Robotics Expert,I,48,"Human, Ghoul",2,Hack an enemy robot for a 50% chance to pacify it.,
Robotics Expert,I,48,"Human, Ghoul",3,Hack an enemy robot for a 75% chance to pacify it.,
Science Monster,I,100,Ghoul,1,"While you have Glow, gain 5% bonus damage for 10 seconds upon getting hit.",007A142F
Science Monster,I,100,Ghoul,2,"While you have Glow, gain 10% bonus damage for 10 seconds upon getting hit.",
Science Monster,I,100,Ghoul,3,"While you have Glow, gain 15% bonus damage for 10 seconds upon getting hit.",
Science!,I,20,"Human, Ghoul",2,Increase energy damage based on your INT.,003440C4
Scrapper,I,13,"Human, Ghoul",1,Obtain more components when you scrap weapons and armor.,0039CFA2
Stabilized,I,36,"Human, Ghoul",2,Big guns gain 30% accuracy. Double in Power Armor.,00320167
Stable Tools,I,39,"Human, Ghoul",1,Power Tools break 10% slower.,006D5080
Stable Tools,I,39,"Human, Ghoul",2,Power Tools break 25% slower.,
Stable Tools,I,39,"Human, Ghoul",3,Power Tools break 40% slower.,
Weapon Artisan,I,40,"Human, Ghoul",1,You can repair any weapon to 130% of normal maximum condition.,003D2962
Weapon Artisan,I,40,"Human, Ghoul",2,You can repair any weapon to 160% of normal maximum condition.,
Weapon Artisan,I,40,"Human, Ghoul",3,You can repair any weapon to 200% of normal maximum condition.,
White Knight,I,39,"Human, Ghoul",1,Your armor breaks 20% slower and is cheaper to repair.,0038AB87
White Knight,I,39,"Human, Ghoul",2,Your armor breaks 40% slower and is cheaper to repair.,
White Knight,I,39,"Human, Ghoul",3,Your armor breaks 60% slower and is cheaper to repair.,
Action Boy/Action Girl,A,2,"Human, Ghoul",1,Action Points regenerate 15% faster.,00093E84
Action Boy/Action Girl,A,2,"Human, Ghoul",2,Action Points regenerate 30% faster.,
Action Boy/Action Girl,A,2,"Human, Ghoul",3,Action Points regenerate 45% faster.,
Action Ghoul,A,50,Ghoul,1,The power of Glow makes your AP regenerate 15% faster.,00797E10
Action Ghoul,A,50,Ghoul,2,The power of Glow makes your AP regenerate 30% faster.,
Action Ghoul,A,50,Ghoul,3,The power of Glow makes your AP regenerate 45% faster.,
Adrenaline,A,49,"Human, Ghoul",2,Gain +10% damage per kill while on a Kill Streak (Max 10).,00397CC5
Ammosmith,A,34,"Human, Ghoul",1,Produce 40% more rounds when crafting ammunition.,003BB50F
Ammosmith,A,34,"Human, Ghoul",2,Produce 80% more rounds when crafting ammunition.,
Born Survivor,A,3,"Human, Ghoul",1,"Falling below 20% health will automatically use a Stimpak, once every 20s.",00330BA5
Born Survivor,A,3,"Human, Ghoul",2,"Falling below 30% health will automatically use a Stimpak, once every 20s.",
Born Survivor,A,3,"Human, Ghoul",3,"Falling below 40% health will automatically use a Stimpak, once every 20s.",
Covert Operative,A,27,"Human, Ghoul",1,Your ranged attacks do an additional 15% sneak attack damage.,002EBD26
Covert Operative,A,27,"Human, Ghoul",2,Your ranged attacks do an additional 30% sneak attack damage.,
Covert Operative,A,27,"Human, Ghoul",3,Your ranged attacks do an additional 50% sneak attack damage.,
Dead Man Sprinting,A,8,"Human, Ghoul",1,Sprint 10% faster at increased AP cost when your health is below 40%.,003896FA
Dead Man Sprinting,A,8,"Human, Ghoul",2,Sprint 20% faster at increased AP cost when your health is below 50%.,
Dodgy,A,45,"Human, Ghoul",2,+5% chance to Evade. Evade no longer has a cooldown. Instead it costs AP.,003D2951
Enforcer,A,30,"Human, Ghoul",1,Your small guns gain a 5% stagger chance and +25% limb damage.,00322358
Enforcer,A,30,"Human, Ghoul",2,Your small guns gain a 10% stagger chance and +50% limb damage.,
Enforcer,A,30,"Human, Ghoul",3,Your small guns gain a 15% stagger chance and +75% limb damage.,
Escape Artist,A,35,"Human, Ghoul",1,"Sneak to lose enemies, and running no longer affects stealth.",003701B3
Evasive,A,17,"Human, Ghoul",1,Chance to Evade attacks based on AGI. (No Power Armor),00323F89
Goat Legs,A,32,"Human, Ghoul",1,Take no damage from falling.,003D2957
Guerrilla,A,5,"Human, Ghoul",1,You do +10% ranged damage to close enemies.,0031AF0D
Guerrilla,A,5,"Human, Ghoul",2,You do +15% ranged damage to close enemies.,
Guerrilla,A,5,"Human, Ghoul",3,You do +20% ranged damage to close enemies.,
Guerrilla Expert,A,20,"Human, Ghoul",2,"+1% reload speed per Onslaught stack, +3 max stacks.",0031AF0E
Guerrilla Master,A,40,"Human, Ghoul",3,"+5% ranged damage to close enemies per Onslaught stack, +5 max stacks.",0031AF0F
Gun Fu,A,50,"Human, Ghoul",1,V.A.T.S. swaps targets on kill with +30% damage to your next target.,003701BF
Gun Fu,A,50,"Human, Ghoul",2,V.A.T.S. swaps targets on kill with +60% damage up to 2 targets.,
Gun Fu,A,50,"Human, Ghoul",3,V.A.T.S. swaps targets on kill with +90% damage up to 3 targets.,
Gun Runner,A,4,"Human, Ghoul",1,Your running speed is increased by 10% when you have a ranged weapon equipped.,0027A877
Gun Runner,A,4,"Human, Ghoul",2,Your running speed is increased by 20% when you have a ranged weapon equipped.,
Gun Tricks,A,80,Ghoul,1,Your enhanced reflexes allow you to reload weapons 10% faster.,007ADC78
Gun Tricks,A,80,Ghoul,2,Your enhanced reflexes allow you to reload weapons 20% faster.,
Gun Tricks,A,80,Ghoul,3,Your enhanced reflexes allow you to reload weapons 30% faster.,
Gunslinger,A,2,"Human, Ghoul",1,Your ranged weapons do +6% weak spot damage.,0031AEF8
Gunslinger,A,2,"Human, Ghoul",2,Your ranged weapons do +9% weak spot damage.,
Gunslinger,A,2,"Human, Ghoul",3,Your ranged weapons do +12% weak spot damage.,
Gunslinger Expert,A,15,"Human, Ghoul",2,"+1% ranged weak spot damage per Onslaught stack, +3 max stacks.",0031AEF9
Gunslinger Master,A,35,"Human, Ghoul",3,"Gain Onslaught stacks over time and spend them on attacks, +10 max stacks.",0025A792
Home Defense,A,22,"Human, Ghoul",1,Workshop turrets do +50% damage and you can disarm better traps.,003896F9
Home Defense,A,22,"Human, Ghoul",2,Workshop turrets do +75% damage and you can disarm advanced traps.,
Home Defense,A,22,"Human, Ghoul",3,Workshop turrets do +100% damage and you can disarm expert traps.,
Hyper Reflexes,A,100,Ghoul,1,"When your Glow is high, gain a 10% evasion chance. (No Power Armor)",007AE865
Hyper Reflexes,A,100,Ghoul,2,"When your Glow is high, gain a 15% evasion chance. (No Power Armor)",
Hyper Reflexes,A,100,Ghoul,3,"When your Glow is high, gain a 20% evasion chance. (No Power Armor)",
Jaguar Speed,A,60,Ghoul,1,You now sprint 10% faster when your Glow is high.,00797E0F
Jaguar Speed,A,60,Ghoul,2,You now sprint 20% faster when your Glow is high.,
Light Footed,A,29,"Human, Ghoul",1,"While sneaking, you never trigger mines or floor-based traps.",003896FB
Marathoner,A,13,"Human, Ghoul",1,Sprinting consumes 20% fewer Action Points. (No Power Armor),0025A7A3
Marathoner,A,13,"Human, Ghoul",2,Sprinting consumes 30% fewer Action Points. (No Power Armor),
Marathoner,A,13,"Human, Ghoul",3,Sprinting consumes 40% fewer Action Points. (No Power Armor),
Mister Sandman,A,37,"Human, Ghoul",1,Your silenced weapons do an additional 50% sneak attack damage.,0032992F
Mister Sandman,A,37,"Human, Ghoul",2,Your silenced weapons do an additional 100% sneak attack damage.,
Modern Renegade,A,18,"Human, Ghoul",1,Small guns gain +10% hip fire accuracy and +25% limb damage.,000907EE
Modern Renegade,A,18,"Human, Ghoul",2,Small guns gain +20% hip fire accuracy and+50% limb damage.,
Modern Renegade,A,18,"Human, Ghoul",3,Small guns gain +30% hip fire accuracy and +75% limb damage.,
Moving Target,A,5,"Human, Ghoul",1,Gain +5% chance to Evade while sprinting. (No Power Armor),00323F90
Moving Target,A,5,"Human, Ghoul",2,Gain +10% chance to Evade while sprinting. (No Power Armor),
Moving Target,A,5,"Human, Ghoul",3,Gain +15% chance to Evade while sprinting. (No Power Armor),
Ninja,A,15,"Human, Ghoul",1,"Bows, throwing, and melee weapons do +50% sneak attack damage.",0025A7F9
Ninja,A,15,"Human, Ghoul",2,"Bows, throwing, and melee weapons do +100% sneak attack damage.",
Packin' Light,A,9,"Human, Ghoul",1,Your Action Points regenerate faster when not over encumbered.,0031E527
Secret Agent,A,47,"Human, Ghoul",1,Stealth Boys last twice as long!,0038AB93
Secret Agent,A,47,"Human, Ghoul",2,Stealth Boys last three times as long!,
Secret Agent,A,47,"Human, Ghoul",3,Stealth Boys last four times as long!,
Sneak,A,20,"Human, Ghoul",1,You are 25% harder to detect while sneaking.,0034409F
Sneak,A,20,"Human, Ghoul",2,You are 50% harder to detect while sneaking.,
Sneak,A,20,"Human, Ghoul",3,You are 75% harder to detect while sneaking.,
Battle-Genes,L,80,Ghoul,1,Gain 2 HP per second while in combat.,00797E09
Battle-Genes,L,80,Ghoul,2,Gain 4 HP per second while in combat.,
Better Criticals,L,47,"Human, Ghoul",1,V.A.T.S. criticals now do +50% damage.,00287CD5
Better Criticals,L,47,"Human, Ghoul",2,V.A.T.S. criticals now do +75% damage.,
Better Criticals,L,47,"Human, Ghoul",3,V.A.T.S. criticals now do +100% damage.,
Bloody Mess,L,42,"Human, Ghoul",1,Bleeding enemies you kill have a chance to explode based on your LCK.,00073680
Can Do!,L,7,"Human, Ghoul",1,Find more canned goods based on your LCK.,00346E0D
Cap Collector,L,16,"Human, Ghoul",1,You find more bottle caps based on your LCK.,0034527C
Class Freak,L,46,"Human, Ghoul",1,The negative effects of your mutations are reduced by 25%.,00391F13
Class Freak,L,46,"Human, Ghoul",2,The negative effects of your mutations are reduced by 50%.,
Class Freak,L,46,"Human, Ghoul",3,The negative effects of your mutations are reduced by 75%.,
Critical Savvy,L,44,"Human, Ghoul",1,Critical Hits now only consume 85% of your critical meter.,003E21E5
Critical Savvy,L,44,"Human, Ghoul",2,Critical Hits now only consume 70% of your critical meter.,
Critical Savvy,L,44,"Human, Ghoul",3,Critical Hits now only consume 55% of your critical meter.,
Curator,L,19,"Human, Ghoul",1,The benefits of bobbleheads and magazines last twice as long.,00391F19
Dry Nurse,L,23,"Human, Ghoul",1,You have a 50% chance to keep your Stimpak when you revive another player.,003BD592
Faulty Spots,L,75,Ghoul,2,Weak point damage is increased by 15%.,00797E0B
Four Leaf Clover,L,29,"Human, Ghoul",1,Misses in V.A.T.S. now contribute to the Critical Meter based on your LCK.,003701BE
Glowing Criticals,L,100,Ghoul,1,"When your Glow is high, Gain 20% bonus Critical damage in V.A.T.S.",00797E0E
Glowing Criticals,L,100,Ghoul,2,"When your Glow is high, Gain 35% bonus Critical damage in V.A.T.S.",
Glowing Criticals,L,100,Ghoul,3,"When your Glow is high, Gain 50% bonus Critical damage in V.A.T.S.",
Good With Salt,L,9,"Human, Ghoul",1,Food in your inventory will spoil 45% slower.,0052415D
Good With Salt,L,9,"Human, Ghoul",2,Food in your inventory will spoil 90% slower.,
Grim Reaper's Sprint,L,33,"Human, Ghoul",2,"Any kill in V.A.T.S. restores Action Points, based on your LCK.",0027A870
Junk Shield,L,10,"Human, Ghoul",1,Gain Resistances based on your LCK and amount of junk held.,003E21EC
Last Laugh,L,27,"Human, Ghoul",1,You drop a live grenade from your inventory when you die.,0051ABC6
Luck of the Draw,L,14,"Human, Ghoul",1,Slight chance your weapon will repair itself when hitting an enemy.,00356A05
Luck of the Draw,L,14,"Human, Ghoul",2,Chance your weapon will repair itself even more when hitting an enemy.,
Luck of the Draw,L,14,"Human, Ghoul",3,Chance your weapon will greatly repair itself when hitting an enemy.,
Lucky Break,L,24,"Human, Ghoul",1,Slight chance your equipped armor will repair itself when struck.,00356A0A
Lucky Break,L,24,"Human, Ghoul",2,Chance your equipped armor will repair itself even more when struck.,
Lucky Break,L,24,"Human, Ghoul",3,Chance your equipped armor will greatly repair itself when struck.,
Mysterious Savior,L,49,"Human, Ghoul",1,A Mysterious Savior will occasionally appear to revive you when downed.,0039CFA1
Mysterious Savior,L,49,"Human, Ghoul",2,A Mysterious Savior will more frequently appear to revive you when downed.,
Mysterious Savior,L,49,"Human, Ghoul",3,The Mysterious Savior will regularly appear to revive you when downed.,
Mysterious Stranger,L,26,"Human, Ghoul",1,The Mysterious Stranger will appear occasionally in V.A.T.S. to lend a hand.,003408AD
Mysterious Stranger,L,26,"Human, Ghoul",2,The Mysterious Stranger appears more often when using V.A.T.S.,
Mysterious Stranger,L,26,"Human, Ghoul",3,"The Mysterious Stranger appears so much in V.A.T.S., he knows you by name.",
Mystery Meat,L,12,Human,1,Stimpaks may generate edible meat tissue. Higher Rads improve the chance.,003472CE
Mystery Meat,L,12,Human,2,Stimpaks generate more edible meat tissue. Higher Rads improve the chance.,
Mystery Meat,L,12,Human,3,"Stimpaks generate excessive, edible meat. Higher Rads improve the chance.",
One Gun Army,L,31,"Human, Ghoul",1,Heavy guns gain a 4% stagger chance and +25% limb damage.,0032015B
One Gun Army,L,31,"Human, Ghoul",2,Heavy guns gain a 8% stagger chance and +50% limb damage.,
One Gun Army,L,31,"Human, Ghoul",3,Heavy guns gain a 12% stagger chance and +75% limb damage.,
Pharma Farma,L,2,"Human, Ghoul",1,Find more first aid Chems based on your LCK.,0034EBCE
Psychopath,L,20,"Human, Ghoul",2,Hits outside V.A.T.S. refill your Critical Meter at 10% contribution.,0027A871
Quick Hands,L,40,Human,1,Gain a 6% chance to instantly reload when your clip is empty.,003E8630
Quick Hands,L,40,Human,2,Gain a 12% chance to instantly reload when your clip is empty.,
Quick Hands,L,40,Human,3,Gain a 18% chance to instantly reload when your clip is empty.,
Ricochet,L,38,"Human, Ghoul",1,Gain a chance to Deflect ranged attacks based on LCK.,00330BA9
Scrounger,L,3,"Human, Ghoul",1,Find more non-explosive ammo based on your LCK.,00310D5A
Serendipity,L,5,"Human, Ghoul",1,"While below 30% health, gain a chance to Evade based on LCK. (No Power Armor)",00330B9E
Storm Chaser,L,35,"Human, Ghoul",1,Gain health regeneration while outside during rain or Rad Storms.,00391F1D
Storm Chaser,L,35,"Human, Ghoul",2,Gain high health regeneration while outside during rain or Rad Storms.,
Super Duper,L,50,"Human, Ghoul",1,"When you craft anything, there is a 10% chance you'll get double results!",003BD59B
Super Duper,L,50,"Human, Ghoul",2,"When you craft anything, there is a 20% chance you'll get double results!",
Super Duper,L,50,"Human, Ghoul",3,"When you craft anything, there is a 30% chance you'll get double results!",
Wild West Hands,L,65,Ghoul,1,12% chance to instantly reload your entire magazine when empty.,00797E14
Wild West Hands,L,65,Ghoul,2,24% chance to instantly reload your entire magazine when empty.,
Wild West Hands,L,65,Ghoul,3,36% chance to instantly reload your entire magazine when empty.,
WoodChucker,L,17,"Human, Ghoul",1,Collect twice as much when harvesting wood.,004F9FD3
